,Job_title,Company_name,Location,Salary,Job_Description
0,"Apple Media Products (AMP)- Big Data Analyst, Analytics Engineering",Apple,London,NaN,"Summary
Posted: Jan 28, 2020
Weekly Hours: 35
Role Number:200143517
Imagine what you could do here. At Apple, new ideas have a way of becoming phenomenal products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. In the growing Apple Media Products Analytics Engineering team you will perform data analysis and dig into rich user experience big data, finding out the root cause of data issues. You will collaborate with leading data scientists, crafting out data curations and annotations for building data science and machine learning solutions. Your insights will contribute to the team’s data products and platforms quality improvement for Apple’s growing service sector such as Apple Music, Apple TV and Apple Arcade
Key Qualifications
We expect strong working experiences and knowledge about data analytics with proficient SQL language skill
Understanding the business implication of metrics based on web/app user experience event data such as clickstream, play, commerce transactions.
Strong sense of initiative and ability to drive projects run by multi-functional team to completion
Excellent communication skills
Experience with Hadoop, Spark, Hive or other big data processing technologies desired
We would love to see programming skills in Python, R, Scala or similar languages
Description
We are looking for an individual with a passion for solving complex data problems with attention to detail and logical thinking skills. You will partner with data engineers and project managers to conduct deep data investigation analysis to contribute data quality innovative improvements for Apple’s growing service products. Based on investigation results and work with data scientists, you will design data pipeline important metric's so that team can monitor and detect anomalies earlier. This is a phenomenal opportunity to work on real big data with the latest technologies and contribute Apple’s data quality and privacy initiatives. We ideally want someone who can quickly understand the architecture of engineering projects and can explore produced datasets with HDFS command line tool and data querying languages such as Spark SQL Based on the understanding of data and engineering architecture, can identify potential areas of risks that could collapse the pipeline or harm a quality of data output. Has a strong skill of engineering project management. Can facilitate of technical and business discussion to determine what is the right technical resolution to tackle business problems. Can quickly learn new data analytics tools to keep up with the rapid evolution of big data solutions - from traditional RDB languages (ex. Oracle SQL, MySQL) to the latest big data analytics languages (ex. Spark RDD & Dataframe, Python Pandas/Numpy, R), also being flexible in learning various UI based tools (Splunk, Tableau) as it’s needed
Education & Experience
Bachelor or Master's degree in related field, such as Data Science, Computer Science, Statistics, Business Administration, Business Analytics, or meaningful industry experience preferred"
1,Lead Software Engineer,Northrop Grumman UK,London,NaN,"Are you an experienced Software Engineer who wants to join a leading cyber team within an evolving and dynamic organisation?
Due to the success of a number of strategic programmes, we are growing our Software Development team with creative and ambitious Software Engineers. With a primary focus on Java, your experience will cover different technologies within an agile environment
Different thinking for a Different world

Northrop Grumman is a leading global security company providing innovative systems, products and solutions to government and commercial customers worldwide. In Northrop Grumman’s rapidly growing UK Cyber and Intelligence business, we support our customers’ work to make the UK the safest place to live and do business, both physically and online.
Working with and alongside our customers, we use modern software engineering methods (Scaled Agile Development, DevSec Ops, Site Reliability Engineering, micro-service architectures) and cutting edge techniques (data science, Artificial Intelligence, Machine Learning) to tackle complex and challenging problems and deliver cost effective, reliable, supportable solutions.
Our solutions support complex analysis of substantial amounts of data, requiring state of the art ‘big data’, stream processing and cloud-based analytics, identifying and using ‘best of breed’ commercial and open source technologies and integrating them with our own software to meet customer needs quickly and efficiently.
At Northrop Grumman we pride ourselves on our ability to combine agile development with sound engineering and security practices to ensure that our solutions are robust and resilient; designed and built to start secure and stay secure against ever evolving cyber security threats. As well as designing for security, Information Assurance and legal / policy compliance, we actively assess products and services, identifying vulnerabilities and weaknesses that could be exploited by cyber attackers, and we create and run exercises to pit cyber security specialists against secure systems and each other.
We carry out research and innovation locally in the UK, with commercial and academic partners, and across our 85,000+ worldwide workforce.

How you will make a difference
For us, innovation is key and we have immediate opportunities for talented software engineers to join our team to help us develop and maintain a suite of applications. We are in a phase of rapid growth and there are various opportunities to develop your career with us to meet your aspirations.
You will be helping us to solve our customer’s problems within an agile team. You will have opportunities throughout the Software Life cycle from requirements capture through to R&D(Research & Development), implementation, automation and test in a wide range of technologies.
As a Lead Software Engineer you will have had responsibility for the design and delivery of packages of work; leading teams and working with customers. You will be able to deploy applications in a controlled, repeatable way and be developing technical specialisms in frameworks and/or tool sets. Experience of mentoring or line management would be advantageous.
Key criteria required...
Proven experience in professional Java development, writing well-designed, testable code
Keen to learn a broad range of technologies on the Java stack
Experience of DevOps automated deployment technologies such as Jenkins, Docker, Ansible
Agile Scrum methodologies using tools such as Confluence and Jira
Also, we’d love it if you have experience of...
Cloud-based architectures; certification is a bonus.
Microservice-orientated or serverless architectures
Messaging and Routing Technologies such as NiFi and Kafka
UX development; creating intuitive and sleek front-ends for clients
Big data open source platforms such as Accumulo or Elasticsearch
Supporting business development through contributions to customer proposals and R&D projects
You will enjoy a growing career as we work collaboratively to innovate the world of cyber security.
Additional information for your consideration...
You must hold UK Government clearances
Opportunities exist across the UK to enhance your career progression
Being a part of Northrop Grumman gives you the opportunity to use your skills to make a difference in our mission of enabling global security. Our company grows because of our employees' dedication and commitment to achieving our mission, something we always remember. In return for working for us you will have access to a benefits package that provides you with flexibility to balance your professional career with your personal life, health & well-being benefits, discount schemes, pension benefits and investment in your future development.
We are committed to equality and diversity in our workplace. Northrop Grumman provides equal employment opportunities to all employees and applicants without regard to an individual’s protected status, including race, ethnic origin, colour, nationality, national origin, ancestry, sex/gender, gender identity/expression, gender reassignment, sexual orientation, marriage/civil partnership, pregnancy/maternity, religion or belief, creed, age, disability, genetic information, or any other protected status or characteristic."
2,Apprentice Radiotherapy Engineer (Clinical Technologist),University Hospital Southampton NHS Foundation Trust,Southampton SO14,"£18,369 a year","This is an exciting opportunity to be an Apprentice in Radiotherapy Engineering. Training will consist of Block Release placements at the University of West of England (UWE) and hands-on training delivered at Southampton and Basingstoke Radiotherapy Departments. Trainees will gain extensive experience in the routine servicing and maintenance of a fleet of 7 Linear Accelerator Machines and other associated equipment. This is a three year apprenticeship.
ABOUT THE TEAM

Our electronics engineering team consists of five staff, dedicated to supporting the imaging and treatment machines within radiotherapy. The team are actively involved in commissioning of new equipment as well as supporting routine maintenance, trouble-shooting, and quality assurance. We support and encourage our team to innovate, and they are able to develop expertise in areas of particular interest. We work closely with clinical scientists to ensure maximum uptime of the linear accelerators, CT scanners and other radiotherapy equipment.

Radiotherapy physics is part of the medical physics department which has an active seminar programme to encourage shared learning and afford opportunities for wider collaborative working. The department supports BSc and MSc projects, as well as smaller development projects.
WHAT YOU’LL DO

You will be trained in how to do routine and breakdown maintenance on highly specialised Radiotherapy equipment, primarily Linear Accelerators , working in a clinical environment.

Clinical equipment incorporates electrical, electronic and mechanical components and computer software and hardware.

You will spend a minimum of 20% of your time doing academic learning, either through University, work-based tutorials or self-study.
WHAT WE’RE LOOKING FOR

A practical person with a keen interest in Engineering and technology.

Ideally someone with Science and maths qualifications to A-level or equivalent.

You must be able to concentrate for long periods of time and be able to organise and manage your work schedule.

A good team player, you will have good communication skills to enable you to communicate with several staff groups including Radiographers, Clinical Scientists, Engineers and external Manufacturers.
WHAT WE CAN OFFER YOU

As one of the largest acute teaching Trust’s in England, we can offer learning and development opportunities to help you achieve the career you aspire to. We believe you deserve the best possible surroundings in which to do your job and we want to support you in doing your job to the best of your ability.

As a Trust, we support flexible working and will consider requests taking into account the needs of the service. You’ll have an opportunity to discuss this at interview. Our LiveWell and inspire programme offers opportunities, support and advice, including smoking cessation services, exercise and activity classes, and support for mental health.

UHS employees are able to access a huge range of NHS discounts, are entitled to a minimum of 35 days paid holiday (pro rata) on appointment, can access on-site nursery facilities (subject to availability), and we offer a generous pension scheme.
ABOUT OUR TRUST AND SOUTHAMPTON

UHS is rated ‘Good’ by the CQC and in the latest national NHS Staff Survey, we were in the top 10 acute trusts for staff engagement and for staff recommending the hospital as a place to work or receive care.

Southampton is an attractive place to live and work situated on the south coast, with an international airport and only an hour on the train from central London. The New Forest National Park and the beaches of the Jurassic coast are also right on our doorstep. The city offers living costs 20% lower than those in London, 13 schools rated outstanding by Ofsted and 13 nearby green spaces to enjoy.
ADDITIONAL INFORMATION

Interviews will be held on Tuesday, 30 June 2020.
FOR FURTHER INFORMATION OR TO APPLY

If you’re interested in applying for this role, we’d encourage you to get in touch using the contact information at the bottom of this advert with any questions or if you would like to arrange an informal visit. Alternatively, if you’re ready to apply, please follow the link below to complete an application."
3,Machine Learning Engineer,GMV,Oxford,NaN,"Description
The GMV UK Machine Learning Team are looking for a new Machine Learning Engineer with the drive and passion to stay up to date with advancements in the deep learning field, and an ability to turn these advancements into interesting research projects and production based systems. The team is being developed to support the business on ML based projects across the spectrum of technology areas in which it currently operates, and to identify new and exciting areas where machine learning based systems can be developed to make an impact.
Requirements
Academic degree: MSc. Computer Science, Machine Learning, Physics or similar
- Level of English: Advanced
- Technical knowledge:
Python scientific ecosystem
Deep learning (PyTorch / Tensorflow)
Continuous integration systems (Jenkins or similar)
GIT
Cloud computing
Understanding of Unix/Linux and scripting
Docker / Kubernetes
C++
Desirable knowledge:
Point cloud analysis
Earth observation
Software architecture design
Big data processing and storage
Data analytics
Statistics"
4,Machine Learning Engineer,Cyberlens Ltd.,London EC4N,"£45,000 - £53,000 a year","Company: CyberLens Ltd (www.cyberlens.eu)
Location: London
Post Type: In-house consultant - Full Time
Duration: 1 year with the possibility of an extension
Beginning: September 1, 2020
CyberLens is specialized in cyber security and privacy technologies, with a particular emphasis on Internet of Things (IoT), 5G, artificial intelligence and other data-driven technologies. Our company has been recently awarded with a number of large EU research and innovation grants. As part of the continuous growth and expansion in our activities, we are looking to hire hard-working and enthusiastic individuals to join our research and innovation team. The successful candidate will gain exceptional experience in the planning and delivery of large-scale research and innovation projects at the forefront of technology and will collaborate with some of the biggest names in the industry. Indicative partners of ours in current large-scale projects include, among others; Ericsson, Deutsche Telekom, Nokia, Qualcomm, BMW, FIAT, ATOS, Thales,
Job Description
We are looking to hire a Machine Learning Engineer to join the Cybersecurity Product Development team. You will play a critical role by engineering cybersecurity products and services with a truly global impact. The most essential duties associated with this position are as follows:
Core responsibility : The candidate will be developing and Implementing machine learning / deep learning algorithms to solve cyber security-related use cases and help engineer products That defend the system against attackers;
Engineer : The candidate should be an engineer at heart, possessing software engineering skills that allow them to build and engineer new ML/DL capabilities vs. simply integrating existing open source components ;
ML / DL skillset: The candidate will be Utilizing information retrieval, data analytics and statistical modeling techniques to build new machine learning and deep learning models. This will include the entire life-cycle including a collection of data, feature engineering, model development, training, testing, and deployment into production;
R&D: Develop prototypes and algorithms (eg searching, sorting, optimization, dynamic programming) while performing engineering tasks around data aggregation and synthesis data from a multitude of structured and unstructured data sources;
Plan and estimate yours and team's work based on features, stories and tasks in the product backlog;
Design, develop, review and test changes in the product according to use cases and requirements.
Skillset
Essential skills:
Software Engineering: The candidate must have a background in software engineering, object-oriented programming languages like Python, C ++;
Machine Learning: knowledge or common ML frameworks and libraries Keras, PyTorch, TensorFlow, sci-kit-learn;
Solid software engineering knowledge: Agile, Scrum, UML, OOP, design patterns, Multi-Threaded.
Experience with automated unit / regression testing;
Experience in managing full-life development cycles;
Team player with excellent communication skills;
Analytical thinking and pragmatic problem-solving capability;
Able to communicate clearly, work independently and manage time.
Desirable skills:
Knowledge of OS coding techniques, IP protocols, interfaces and hardware subsystems;
Experience in the protection of Network Services;
Experience in development of Intrusion Detection / Prevention System;
Experience in Cybersecurity Products.
Offer
Depending on your knowledge and experience, a gross fee indication between £ 45,000 - £ 53,000 annually on the basis of a 40-hour working week;
A professional, high-tech working environment;
Opportunity to grow in a rapidly growing start-up.
Job Types: Full-time, Contract
Salary: £45,000.00 to £53,000.00 /year
Work remotely:
No"
5,Machine Learning Engineer Internship (6 months) 2020,CGG,Crawley,NaN,"A Technology Company with a Passion for Innovation
CGG is a pioneering Technology Company providing world-class fully integrated Geoscience services within the global energy sector. We employ in excess of 5,300 people worldwide, who bring a unique blend of talent and energy through working together to deliver unrivalled innovative solutions to our customers.
Through our cutting-edge Technology in Geoscience and customer focus, we have achieved outstanding leadership with a strong focus on innovation and a commitment to delivering the best sustainable solutions to our clients' energy challenges. We bring our clients a unique range of technologies and services, designed to generate stunning 3D images, geological data and remote sensing information of the Earth’s subsurface structures.
Job Description
Become Part of our Team
We are looking for experienced and talented individuals to join our largest European centre, based in South-East England, operating across a diverse global market with high profile international customers.
As a Machine Learning engineer, you’ll play a vital role in the continual development of our processing and imaging techniques. You will work closely with researchers, the software development group and the scientists in our seismic imaging teams to implement deep learning solutions. You will be working with our Geoscientists to validate the potential opportunities for machine learning techniques, prepare data for training and testing, designing the model, training the model and deploying in production. As an integral member of our imaging team, we highly encourage the contribution of ideas and drive in the generation of new concepts, to maintain our outstanding leadership position for technology and service delivery in the market place.
Qualifications
You are likely to be working towards a PHD degree or have completed an MSc in any of the following disciplines but a combination of education and experience will be considered;
Computer Science, Mathematics, Physics or similar.
Additional Information
Learning and Development
Our culture of learning and complementary approach to supported or self-guided career development, enables the design of tailored courses to suit specific needs of each individual to aid personal growth in areas related to technical, commercial and personal skills, via an extensive suite of CGG developed courses, managed through our own CGG University platform.
Benefits Package
Competitive starting salary
Highly attractive bonus scheme
Initially 22 days holiday with future increases, complemented by a flexible buying and selling holiday program
Company contributory pension plan
Accommodation assistance program
Flexible Private Medical & Dental care programs, tailored to suit individual or family needs
Employee Assistance Program to support our staff
We Care about our Staff and Environment
We recognise the importance of work life balance for our employees, which is supported through our flexible working and relaxed dress code policies.
We recognise and actively support the wellbeing of our staff through many different initiatives;
Onsite exercise classes and promoting active lifestyles
Our restaurant, offering great food and a highly effective social and work space
Regular social club events, spontaneous reward events throughout the year
Many discounts schemes, including Gym membership and a cycle purchase scheme
We encourage and actively support a strong sense of community, through volunteering and various company initiatives, as well as a strong company commitment to protecting our environment through sustainable solutions, energy saving and waste reduction enterprises.
I'm interested"
6,Deep Learning Engineer (Signal Processing),Drone Defence,Retford,"£25,000 - £35,000 a year","Are you a Deep Learning Engineer experienced with building model for time-series data (e.g. speech, ECG or radio frequency signal), and looking for a new challenge within the Drone industry?
Are you looking to be creative and work within a growing company?
If you think you have what it takes to be part of our elite development team, then we want to hear from you.
Due to continued expansion, Drone Defence Services Ltd are looking for Mid- Snr Level Deep Learning Engineer (Signal Processing) to join our highly skilled drone software development team.
We are specialists in supporting a sustainable future where drones change the way we view, interact with and move around our world.
Everything we do is about enabling drone technology and demonstrating its potential.
This is a fantastic opportunity for a highly skilled individual to join our development team at an exciting time as we expand and bring new products to the market.
Location:
We are headquartered in Retford, Nottinghamshire
Responsibilities and Duties
You'll be working within the software development team and be involved in the development of our software solutions.
Specific duties include:
Building and testing deep learning sequence models such as recurrent neural networks, transformer models or even convolutional neural networks for our sequential data.
Extensive model development with TensorFlow and Keras in Python
Training and testing models on AWS or Google cloud compute.
Applying various signal processing techniques such as Fourier transform, filtering, etc.
Using TensorFlow Lite to deploy, test, and optimise deep learning models on embedded devices.
Working with GNU Radio to gather and pre-process the radio frequency signal using digital signal processing.
Being part of our development road map team, developing and integrating new modules to handle data from our increasing variety of hardware sensors and systems.
Testing, identifying, and optimising the time-critical code.
Being creative and coming up with new ways to enhance our products using the latest technologies
Qualifications and Skills
The successful candidate would need to be highly driven in the following areas;
Provide accurate estimates with regards to work and work to a schedule.
Maintain a high level of awareness of the industry and trends, particularly regarding development.
Keep abreast of usability standards and emerging technologies.
Be a team player and keep team members informed as appropriate.
Experience, Skills and Knowledge:
Developed, tested and deployed machine learning models for time-series data
Have worked or researched on development of custom deep learning models for novel datasets and problems
Have used digital signal processing for pre-processing of time series signals before feeding them into neural networks
Debugging issues in deep learning models at training, testing and deployment stages
Familiarity with GNU Radio is big plus
A strong understanding of GPU acceleration, parallel processing and machine learning frameworks, such as: Tensorflow and Keras in Python
Good communication skills, oral and written
Ability to work within the team and independently to meet deadlines
Must have meticulous attention to detail
A firm educational background in computer science and a PhD (or Master) in Deep learning are preferred
'Must Have' Qualities:
Self-motivated and hard worker
Putting the customer first
Desire and willingness to learn and grow with us
A team player
The drive to succeed
Benefits
Excellent Pay (depending on experience)
starting on 22 days annual leave plus public bank holidays
Company pension scheme
Flexible working scheme
Experience:
Python: 4+ years
Machine Learning: 3+ years industry or research
TensorFlow and Keras: 2+ years
Signal Processing: 1+ year
(optional) GNU Radio: 1+ year
Benefits:
Work from home opportunities
Flexible working hours
Company events & social hours
Benefits:
Work from home opportunities
Flexible working hours
Company events & social hours
Reference ID: DD/005
Application Deadline: 18/06/2020
Job Types: Full-time, Permanent
Salary: £25,000.00 to £35,000.00 /year
Experience:
signal processing: 1 year (Required)
GNU Radio: 1 year (Preferred)
TensorFlow and Keras: 2 years (Required)
Python: 4 years (Required)
Machine Learning industry or research: 3 years (Required)
Education:
Bachelor's (Required)"
7,"Engineer, Machine Learning",OakNorth Bank,London,NaN,"OakNorth is the next-generation credit and monitoring platform that provides banks and lending institutions with the insight and foresight needed to create a better borrowing experience for the Missing Middle – the growth business who are the backbones of communities and economies globally but who have been in banking’s blind spot for decades.
The business was founded in 2015 by Rishi Khosla and Joel Perlman, who previously co-founded Copal Amba and grew it to 3,000 employees over 12 years, before selling it to Moody’s (NYSE: MCO) in 2014, returning 125 times capital to seed investors.
Since its inception, OakNorth has secured over $1bn from several investors, including: Clermont Group, Coltrane, EDBI of Singapore, GIC, Indiabulls, NIBC, Toscafund, and SoftBank’s Vision Fund.
The Platform has been deployed at various banks across North America, Europe, and Asia, and in the UK where OakNorth lends off of its own balance sheet via OakNorth Bank. The platform has helped OakNorth Bank become the fastest-growing business in Europe according to the Financial Times FT 1000 (2020), profitably lending over £4bn to date. In terms of the impact this has had on the economy, OakNorth Bank’s loans have directly helped with the creation of 13,000 new homes and 17,000 new jobs in the UK, as well as adding several billion pounds to the economy.
With offices in London, New York, Manchester, Singapore, Hong Kong, Shanghai, Istanbul, Gurgaon and Bangalore, the global team across the OakNorth Holdings group is over 800 people.

SMEs are crucial in global economy. Although they account for 99% of business in the UK/US, their financing need is increasingly difficult to be met by major banks, due to higher risk of default and the diversity of different sectors in that make up ""SME"".
To solve this problem, OakNorth is building a platform to improve productivity of SME lenders. From credit appraisal, to loan monitoring, the OakNorth Machine Learning team has identified multiple key areas that can be optimised by recent advances in Machine Learning (ML), Natural Language Processing (NLP), Computer Vision (CV), and Information Retrieval (IR).

We are looking for passionate scientists and/or software engineers who will be joining the fastest growing and profitable fintech in London as a Machine Learning Engineer. You enjoy solving challenging tasks and creating impactful and data-driven products with innovative techniques.
We expect you are:
Experienced in ML, CV, NLP, IR, or related fields
A PhD (or Master with 3 years' experience in industry)
Able to quickly learn new technologies and comprehend academic literatures independently.
We would love to see:
Experience with modern deep learning frameworks (e.g. PyTorch, Tensorflow, Jax)
Experience working on distributed software system (e.g. Spark, Hadoop, ElasticSearch)
Publications in related academic venues (e.g. ACL, CVPR, EMNLP, ICML, KDD, NeurIPS)
You will:
Work with domain experts to shape the future of our platform.
Research and evaluate techniques that can improve/solve a concrete business workflow/problem.
Convert research findings into production-level software systems.
Publish findings in top-tier academic venues.
Thank you very much for your interest in OakNorth. We are happy to consider you for roles within our group of companies. If we can identify a match between your skill set and our immediate recruiting needs, please expect to hear from us very soon. If we are unable to identify a fit in the near term, please note that we intend to retain the data you send to us so we may contact you in the future."
8,Machine Learning Engineer – Search,Spotify,London,NaN,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you’ll keep millions of users listening by making great recommendations to each and every one of them.
What you’ll do:
Contribute to designing, building, evaluating, shipping, and refining Spotify’s product by hands-on ML development
Collaborate with a cross functional agile team spanning user research, design, data science, product management, and engineering to build new product features that advance our mission to connect artists and fans in personalized and relevant ways
Prototype new approaches and production-ize solutions at scale for our hundreds of millions of active users
Help drive optimization, testing, and tooling to improve quality
Be part of an active group of machine learning practitioners in Boston (and across Spotify) collaborating with one another
Who you are:
You have a strong background in machine learning, with experience and expertise in personalized machine learning algorithms, especially recommender systems.
You have hands-on experience implementing production machine learning systems at scale in Java, Scala, Python, or similar languages. Experience with XGBoost, TensorFlow is also a plus.
You preferably have experience with data pipeline tools like Apache Beam or even our open source API for it, Scio and cloud platforms like GCP or AWS.
You care about agile software processes, data-driven development, reliability, and disciplined experimentation
You love your customers even more than your code
You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.
Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 286 million users."
9,Machine Learning Engineer,GSK,Brentford,NaN,"Site Name: UK - London - Brentford
Posted Date: May 1 2020
At GlaxoSmithKline we have created a world-leading data and computational environment to enable large scale scientific experiments that exploit GSK’s unique access to data. Our focus is on bringing data, analytics & science together into solutions for our scientists to develop medicines for patients.
We are seeking to grow our team with brilliant and diverse contributors with technical ability. We are looking for machine learning experts that want to be part of a team that discovers new medicines. This is an exciting role that will stretch your knowledge and curiosity, offering the opportunity to learn new skills and work within a global community.
This is a hands-on position where you will be empowered to be creative, ambitious and bold, to solve novel R&D problems and have the potential to directly impact the lives of patients living with disease. We have impressive toolkits and world class data, and we are now looking for talented people to join us.
As a Machine Learning Engineer we’d like you to be able to:
Influence machine learning strategy for a program/project; explores design options to assess efficiency and impact, develop approaches to improve robustness and rigour
Be a key contributor to the planning and direction of a project and effectively prioritize goals
Lead discussions at peer review and uses quantitative skills to positively influence decision making
Effectively explain technical concepts at all levels in the organization, including senior managers/stakeholders
Lead, or makes major contributions to, improvements in methodology or initiatives to address capability gaps or increase efficiency
Represent GSK externally to advance technical capability across the Industry
Identify opportunities to apply the latest advancements in Machine Learning and Artificial Intelligence to build, test, and validate predictive models
Create algorithms to extract information from large, multiparametric data sets
Deploy your algorithms to production to identify actionable insights from large databases
Compare results from various methodologies and recommend best techniques to stake holders
Design, develop and implement analytical solutions using a variety of commercial and open source tools (common tools include Python, R, TensorFlow)
Develop and embed automated processes for predictive model validation, deployment, and implementation
Connect and collaborate with subject matter experts in biology, chemistry, and medicine.
Make impactful contributions to internal discussions on emerging machine learning methodologies
Basic Qualifications:
It would be fantastic if you have
A higher degree in Engineering, Statistics, Data Science, Applied Mathematics, Computer Science, Physics, Computational Biology, Computational Chemistry or related quantitative field
Expert understanding of a programming language such as Python.
Experience with at least one Deep Learning framework such as TensorFlow, Keras, or PyTorch
Excellent written and verbal communication skills
Ability to work autonomously and collaboratively as part of a team to both teach and learn every day
Why GSK?
Our values and expectations are at the heart of everything we do and form an important part of our culture.
These include Patient focus, Transparency, Respect, Integrity along with Courage, Accountability, Development, and Teamwork. As GSK focuses on our values and expectations and a culture of innovation, performance, and trust, the successful candidate will demonstrate the following capabilities:
Operating at pace and agile decision-making – using evidence and applying judgement to balance pace, rigour and risk.
Committed to delivering high quality results, overcoming challenges, focusing on what matters, execution.
Continuously looking for opportunities to learn, build skills and share learning.
Sustaining energy and well-being
Building strong relationships and collaboration, honest and open conversations.
Budgeting and cost-consciousness
LI-GSK
As a company driven by our values of Patient focus, Transparency, Respect and Integrity, we know inclusion and diversity are essential for us to be able to succeed. We want all our colleagues to thrive at GSK bringing their unique experiences, ensuring they feel good and to keep growing their careers. As a candidate for a role, we want you to feel the same way.
As an Equal Opportunity Employer, we are open to all talent. In the US, we also adhere to Affirmative Action principles. This ensures that all qualified applicants will receive equal consideration for employment without regard to race/ethnicity, colour, national origin, religion, gender, pregnancy, marital status, sexual orientation, gender identity/expression, age, disability, genetic information, military service, covered/protected veteran status or any other federal, state or local protected class*(*US only).
We believe in an agile working culture for all our roles. If flexibility is important to you, we encourage you to explore with our hiring team what the opportunities are.
Please don’t hesitate to contact us if you’d like to discuss any adjustments to our process which might help you demonstrate your strengths and capabilities. You can either call us on 0808 234 4391, or send an email ukdiversity.recruitment@gsk.com
As you apply, we will ask you to share some personal information which is entirely voluntary. We want to have an opportunity to consider a diverse pool of qualified candidates and this information will assist us in meeting that objective and in understanding how well we are doing against our inclusion and diversity ambitions. We would really appreciate it if you could take a few moments to complete it. Rest assured, Hiring Managers do not have access to this information and we will treat your information confidentially.
Important notice to Employment businesses/ Agencies
GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.
Please note that if you are a US Licensed Healthcare Professional or Healthcare Professional as defined by the laws of the state issuing your license, GSK may be required to capture and report expenses GSK incurs, on your behalf, in the event you are afforded an interview for employment. This capture of applicable transfers of value is necessary to ensure GSK’s compliance to all federal and state US Transparency requirements. For more information, please visit GSK’s Transparency Reporting For the Record site."
