,Salary_Average in $,Job_title,Company_name,Location,Job_Description,R_Skills,Java_Skills,SQL_Skills,Spark_Skills,Matlab_Skills,Tensorflow_Skills,NLP_Skills,Python_Skills,C++_Skills
0,23328.63,Apprentice Radiotherapy Engineer (Clinical Technologist),University Hospital Southampton NHS Foundation Trust,Southampton,"This is an exciting opportunity to be an Apprentice in Radiotherapy Engineering. Training will consist of Block Release placements at the University of West of England (UWE) and hands-on training delivered at Southampton and Basingstoke Radiotherapy Departments. Trainees will gain extensive experience in the routine servicing and maintenance of a fleet of 7 Linear Accelerator Machines and other associated equipment. This is a three year apprenticeship.
ABOUT THE TEAM

Our electronics engineering team consists of five staff, dedicated to supporting the imaging and treatment machines within radiotherapy. The team are actively involved in commissioning of new equipment as well as supporting routine maintenance, trouble-shooting, and quality assurance. We support and encourage our team to innovate, and they are able to develop expertise in areas of particular interest. We work closely with clinical scientists to ensure maximum uptime of the linear accelerators, CT scanners and other radiotherapy equipment.

Radiotherapy physics is part of the medical physics department which has an active seminar programme to encourage shared learning and afford opportunities for wider collaborative working. The department supports BSc and MSc projects, as well as smaller development projects.
WHAT YOU’LL DO

You will be trained in how to do routine and breakdown maintenance on highly specialised Radiotherapy equipment, primarily Linear Accelerators , working in a clinical environment.

Clinical equipment incorporates electrical, electronic and mechanical components and computer software and hardware.

You will spend a minimum of 20% of your time doing academic learning, either through University, work-based tutorials or self-study.
WHAT WE’RE LOOKING FOR

A practical person with a keen interest in Engineering and technology.

Ideally someone with Science and maths qualifications to A-level or equivalent.

You must be able to concentrate for long periods of time and be able to organise and manage your work schedule.

A good team player, you will have good communication skills to enable you to communicate with several staff groups including Radiographers, Clinical Scientists, Engineers and external Manufacturers.
WHAT WE CAN OFFER YOU

As one of the largest acute teaching Trust’s in England, we can offer learning and development opportunities to help you achieve the career you aspire to. We believe you deserve the best possible surroundings in which to do your job and we want to support you in doing your job to the best of your ability.

As a Trust, we support flexible working and will consider requests taking into account the needs of the service. You’ll have an opportunity to discuss this at interview. Our LiveWell and inspire programme offers opportunities, support and advice, including smoking cessation services, exercise and activity classes, and support for mental health.

UHS employees are able to access a huge range of NHS discounts, are entitled to a minimum of 35 days paid holiday (pro rata) on appointment, can access on-site nursery facilities (subject to availability), and we offer a generous pension scheme.
ABOUT OUR TRUST AND SOUTHAMPTON

UHS is rated ‘Good’ by the CQC and in the latest national NHS Staff Survey, we were in the top 10 acute trusts for staff engagement and for staff recommending the hospital as a place to work or receive care.

Southampton is an attractive place to live and work situated on the south coast, with an international airport and only an hour on the train from central London. The New Forest National Park and the beaches of the Jurassic coast are also right on our doorstep. The city offers living costs 20% lower than those in London, 13 schools rated outstanding by Ofsted and 13 nearby green spaces to enjoy.
ADDITIONAL INFORMATION

Interviews will be held on Tuesday, 30 June 2020.
FOR FURTHER INFORMATION OR TO APPLY

If you’re interested in applying for this role, we’d encourage you to get in touch using the contact information at the bottom of this advert with any questions or if you would like to arrange an informal visit. Alternatively, if you’re ready to apply, please follow the link below to complete an application.",0,0,0,0,0,0,0,0,0
1,62230.0,Machine Learning Engineer,Cyberlens Ltd.,London,"Company: CyberLens Ltd (www.cyberlens.eu)
Location: London
Post Type: In-house consultant - Full Time
Duration: 1 year with the possibility of an extension
Beginning: September 1, 2020
CyberLens is specialized in cyber security and privacy technologies, with a particular emphasis on Internet of Things (IoT), 5G, artificial intelligence and other data-driven technologies. Our company has been recently awarded with a number of large EU research and innovation grants. As part of the continuous growth and expansion in our activities, we are looking to hire hard-working and enthusiastic individuals to join our research and innovation team. The successful candidate will gain exceptional experience in the planning and delivery of large-scale research and innovation projects at the forefront of technology and will collaborate with some of the biggest names in the industry. Indicative partners of ours in current large-scale projects include, among others; Ericsson, Deutsche Telekom, Nokia, Qualcomm, BMW, FIAT, ATOS, Thales,
Job Description
We are looking to hire a Machine Learning Engineer to join the Cybersecurity Product Development team. You will play a critical role by engineering cybersecurity products and services with a truly global impact. The most essential duties associated with this position are as follows:
Core responsibility : The candidate will be developing and Implementing machine learning / deep learning algorithms to solve cyber security-related use cases and help engineer products That defend the system against attackers;
Engineer : The candidate should be an engineer at heart, possessing software engineering skills that allow them to build and engineer new ML/DL capabilities vs. simply integrating existing open source components ;
ML / DL skillset: The candidate will be Utilizing information retrieval, data analytics and statistical modeling techniques to build new machine learning and deep learning models. This will include the entire life-cycle including a collection of data, feature engineering, model development, training, testing, and deployment into production;
R&D: Develop prototypes and algorithms (eg searching, sorting, optimization, dynamic programming) while performing engineering tasks around data aggregation and synthesis data from a multitude of structured and unstructured data sources;
Plan and estimate yours and team's work based on features, stories and tasks in the product backlog;
Design, develop, review and test changes in the product according to use cases and requirements.
Skillset
Essential skills:
Software Engineering: The candidate must have a background in software engineering, object-oriented programming languages like Python, C ++;
Machine Learning: knowledge or common ML frameworks and libraries Keras, PyTorch, TensorFlow, sci-kit-learn;
Solid software engineering knowledge: Agile, Scrum, UML, OOP, design patterns, Multi-Threaded.
Experience with automated unit / regression testing;
Experience in managing full-life development cycles;
Team player with excellent communication skills;
Analytical thinking and pragmatic problem-solving capability;
Able to communicate clearly, work independently and manage time.
Desirable skills:
Knowledge of OS coding techniques, IP protocols, interfaces and hardware subsystems;
Experience in the protection of Network Services;
Experience in development of Intrusion Detection / Prevention System;
Experience in Cybersecurity Products.
Offer
Depending on your knowledge and experience, a gross fee indication between £ 45,000 - £ 53,000 annually on the basis of a 40-hour working week;
A professional, high-tech working environment;
Opportunity to grow in a rapidly growing start-up.
Job Types: Full-time, Contract
Salary: £45,000.00 to £53,000.00 /year
Work remotely:
No",0,0,0,0,0,1,0,1,1
2,38100.0,Deep Learning Engineer (Signal Processing),Drone Defence,Retford,"Are you a Deep Learning Engineer experienced with building model for time-series data (e.g. speech, ECG or radio frequency signal), and looking for a new challenge within the Drone industry?
Are you looking to be creative and work within a growing company?
If you think you have what it takes to be part of our elite development team, then we want to hear from you.
Due to continued expansion, Drone Defence Services Ltd are looking for Mid- Snr Level Deep Learning Engineer (Signal Processing) to join our highly skilled drone software development team.
We are specialists in supporting a sustainable future where drones change the way we view, interact with and move around our world.
Everything we do is about enabling drone technology and demonstrating its potential.
This is a fantastic opportunity for a highly skilled individual to join our development team at an exciting time as we expand and bring new products to the market.
Location:
We are headquartered in Retford, Nottinghamshire
Responsibilities and Duties
You'll be working within the software development team and be involved in the development of our software solutions.
Specific duties include:
Building and testing deep learning sequence models such as recurrent neural networks, transformer models or even convolutional neural networks for our sequential data.
Extensive model development with TensorFlow and Keras in Python
Training and testing models on AWS or Google cloud compute.
Applying various signal processing techniques such as Fourier transform, filtering, etc.
Using TensorFlow Lite to deploy, test, and optimise deep learning models on embedded devices.
Working with GNU Radio to gather and pre-process the radio frequency signal using digital signal processing.
Being part of our development road map team, developing and integrating new modules to handle data from our increasing variety of hardware sensors and systems.
Testing, identifying, and optimising the time-critical code.
Being creative and coming up with new ways to enhance our products using the latest technologies
Qualifications and Skills
The successful candidate would need to be highly driven in the following areas;
Provide accurate estimates with regards to work and work to a schedule.
Maintain a high level of awareness of the industry and trends, particularly regarding development.
Keep abreast of usability standards and emerging technologies.
Be a team player and keep team members informed as appropriate.
Experience, Skills and Knowledge:
Developed, tested and deployed machine learning models for time-series data
Have worked or researched on development of custom deep learning models for novel datasets and problems
Have used digital signal processing for pre-processing of time series signals before feeding them into neural networks
Debugging issues in deep learning models at training, testing and deployment stages
Familiarity with GNU Radio is big plus
A strong understanding of GPU acceleration, parallel processing and machine learning frameworks, such as: Tensorflow and Keras in Python
Good communication skills, oral and written
Ability to work within the team and independently to meet deadlines
Must have meticulous attention to detail
A firm educational background in computer science and a PhD (or Master) in Deep learning are preferred
'Must Have' Qualities:
Self-motivated and hard worker
Putting the customer first
Desire and willingness to learn and grow with us
A team player
The drive to succeed
Benefits
Excellent Pay (depending on experience)
starting on 22 days annual leave plus public bank holidays
Company pension scheme
Flexible working scheme
Experience:
Python: 4+ years
Machine Learning: 3+ years industry or research
TensorFlow and Keras: 2+ years
Signal Processing: 1+ year
(optional) GNU Radio: 1+ year
Benefits:
Work from home opportunities
Flexible working hours
Company events & social hours
Benefits:
Work from home opportunities
Flexible working hours
Company events & social hours
Reference ID: DD/005
Application Deadline: 18/06/2020
Job Types: Full-time, Permanent
Salary: £25,000.00 to £35,000.00 /year
Experience:
signal processing: 1 year (Required)
GNU Radio: 1 year (Preferred)
TensorFlow and Keras: 2 years (Required)
Python: 4 years (Required)
Machine Learning industry or research: 3 years (Required)
Education:
Bachelor's (Required)",0,0,0,0,0,1,0,1,0
3,59055.0,Senior Machine Learning Engineer / Machine Learning Engineer,Nucleome Therapeutics Ltd,Oxford,"Job description
We are looking for machine learning engineer/senior machine learning engineer who loves to mine information from complex datasets, is a self-starter, proactive and wants to work in a dynamic environment of a start-up. As an early member of the team, you will have an integral role in the venture and take ownership of the work. You will design and implement novel Machine Learning models in order to identify the sequences in our genomes that underlie human disease and guide therapeutic development.
REQUIRED EXPERIENCE/SKILLS:
Background in Statistics, Data Science, Machine Learning or related discipline.
Experience with deep learning, transfer learning or reinforcement learning.
Extensive experience with machine learning libraries, such as Scikit-learn, TensorFlow, Keras etc.
Strong programming skills in R and/or Python.
Interest in gene regulation and genomics.
Ability to work independently as well as a member of a multidisciplinary team.
Strong communication skills and ability to communicate complex ideas to both technical and nontechnical audiences.
Flexible and co-operative approach to colleagues.
Strong organisational and time management skills; as well as ability to prioritise and balance competing demands.
A positive can-do and result-oriented attitude, with openness to new ideas and ability to work flexibly in a dynamic environment.
PREFERRED EXPERIENCE/SKILLS:
Strong experience with Machine Learning methods, applied to biological data.
Demonstrable experience in collecting, mining and visualising complex biological data.
Track record of working with genomics data.
Working knowledge of bioinformatics or statistical genetics tools and databases.
Experience with relational or non-relational database management systems.
Experience with Amazon Web Services (AWS) or related service.
Strong organisational skills to track data and record downstream analysis.
Experience supporting and collaborating with non-computational biologists.
Experience in industry.
About Nucleome Therapeutics
Nucleome Therapeutics is an exciting new venture that just spun out from a decade of research at Oxford University with the aim to unlock the non-coding part of the genome to help deliver life changing treatments.
Our pioneering genomics platform uses the 3D structure of the genome and AI powered computational genomics to decode and mine the regulatory “dark matter” of the human genome to help deliver the next generation of genetically guided therapeutics.
Our vision and commitment is shared by Oxford Sciences Innovation who backed us with a £5.2 million seed investment.
Our Team
We are building a passionate, creative and dedicated multi-disciplinary team of scientists with expertise in gene regulation, genomics, machine learning, data analysis and software development. Our mission is to decode and mine the regulatory “dark matter” of the human genome to transform drug target discovery and help deliver the next generation of genetically guided therapeutics. We are building a rewarding and fun environment where people embrace creative ways of thinking, take smart risks and feel empowered to make a difference.
Reference ID: Snr ML / MLE
Job Types: Full-time, Permanent
Salary: £35,000.00 to £58,000.00 /year
Benefits:
Profit Sharing
Experience:
Machine Learning: 1 year (Preferred)",0,0,0,0,0,1,0,1,0
4,73025.0,Senior Software Engineer,WCKD RZR,London,"Are you a highly motivated Senior Software Engineer who is looking for a really exciting new challenge in a start up environment?
Are you the kind of individual who relishes in innovation and seeking an alternative to a problem? Do you enjoy being part of a successful team? Do you love building robust scalable systems with freedom to operate, but under tight timelines?
If you are then this is the job for you!
We are an experienced team looking to build a brand-new product to take to market. There are many interesting technical challenges. The right individual will be involved in the growth of a team, a product and a company.
We are looking to build our flagship product which needs to be built the right way. Designed, architected and then engineered; without any of the bureaucracy of an established organisation. Do it the way it should be done, not the way people tell you to do it. It's an interesting technical challenge and there are a lot of ""moving parts""! As we are a small team, you will not only be engineering the product, but also be client facing and attending client product demonstrations, therefore you must be able to explain technical language in a non-technical manner.
This is a critical hire for the team. Whilst this is an engineering role, you will have the ability to influence the strategy and road map of the product, working alongside the Founders.
We passionately believe that agile working is the key to success - fast to fail and quick to change direction as the world around us changes.
The successful candidate will get the opportunity to use the latest technology and development tools and will collaborate with the design team to ensure we deliver a first class product to the market.
About WCKD RZR
WCKD RZR are start-up, data management software company, founded in October 2019. Our mission is to make compliance with data regulations easy and inexpensive. We are still in stealth mode and are set to innovate, revolutionise and disrupt a multi-billion-dollar market with a totally new software platform using machine learning and cutting-edge technology.
Desirable experience and skills
You'll be working with modern Java technologies (though it's ok if you come from a different background) and JavaScript/React in a cloud environment and working with modern DevOps tools (Kubernetes/Docker).
If you have experience of the following we would like to hear from you:
Expert in at least one of the following: Java, Scala, C#
Expert in building scalable micro-services
Skills in the following would be beneficial: JavaScript, React, TypeScript, Docker, Kubernetes, React Native, GCP, AWS, Azure
Database wire protocol experience benificial
Proven ability of developing a solution from inception to completion, preferably within a start up environment
Ability to learn new technologies and adapt to ever changing demands
Ability to explain complex technical problems to non technical clients
Great communicator, with superior inter-personal and influencing skills
Proven deep technical understanding of engineering highly scalable products
Ability to challenge, question and influence
Experience of developing strategy and excellent at problem solving
Experience of working in agile teams where boundaries are undefined and all opinions are considered
This is a fantastic opportunity to help mould the future of this company and have an influence in a fast paced, dynamic & growing environment.
Job Types: Full-time, Permanent
Salary: £35,000.00 to £80,000.00 /year
Benefits:
Casual Dress
Company Pension
Flexible Schedule
Unlimited Paid Holidays
Work From Home
Schedule:
Monday to Friday
Experience:
Software Engineering: 3 years (Preferred)
Start up: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work remotely:
Temporarily due to COVID-19",0,1,0,0,0,0,0,0,0
5,62230.0,Machine Learning Engineer,Cyberlens Ltd.,London,"Company: CyberLens Ltd (www.cyberlens.eu)
Location: London
Post Type: In-house consultant - Full Time
Duration: 1 year with the possibility of an extension
Beginning: September 1, 2020
CyberLens is specialized in cyber security and privacy technologies, with a particular emphasis on Internet of Things (IoT), 5G, artificial intelligence and other data-driven technologies. Our company has been recently awarded with a number of large EU research and innovation grants. As part of the continuous growth and expansion in our activities, we are looking to hire hard-working and enthusiastic individuals to join our research and innovation team. The successful candidate will gain exceptional experience in the planning and delivery of large-scale research and innovation projects at the forefront of technology and will collaborate with some of the biggest names in the industry. Indicative partners of ours in current large-scale projects include, among others; Ericsson, Deutsche Telekom, Nokia, Qualcomm, BMW, FIAT, ATOS, Thales,
Job Description
We are looking to hire a Machine Learning Engineer to join the Cybersecurity Product Development team. You will play a critical role by engineering cybersecurity products and services with a truly global impact. The most essential duties associated with this position are as follows:
Core responsibility : The candidate will be developing and Implementing machine learning / deep learning algorithms to solve cyber security-related use cases and help engineer products That defend the system against attackers;
Engineer : The candidate should be an engineer at heart, possessing software engineering skills that allow them to build and engineer new ML/DL capabilities vs. simply integrating existing open source components ;
ML / DL skillset: The candidate will be Utilizing information retrieval, data analytics and statistical modeling techniques to build new machine learning and deep learning models. This will include the entire life-cycle including a collection of data, feature engineering, model development, training, testing, and deployment into production;
R&D: Develop prototypes and algorithms (eg searching, sorting, optimization, dynamic programming) while performing engineering tasks around data aggregation and synthesis data from a multitude of structured and unstructured data sources;
Plan and estimate yours and team's work based on features, stories and tasks in the product backlog;
Design, develop, review and test changes in the product according to use cases and requirements.
Skillset
Essential skills:
Software Engineering: The candidate must have a background in software engineering, object-oriented programming languages like Python, C ++;
Machine Learning: knowledge or common ML frameworks and libraries Keras, PyTorch, TensorFlow, sci-kit-learn;
Solid software engineering knowledge: Agile, Scrum, UML, OOP, design patterns, Multi-Threaded.
Experience with automated unit / regression testing;
Experience in managing full-life development cycles;
Team player with excellent communication skills;
Analytical thinking and pragmatic problem-solving capability;
Able to communicate clearly, work independently and manage time.
Desirable skills:
Knowledge of OS coding techniques, IP protocols, interfaces and hardware subsystems;
Experience in the protection of Network Services;
Experience in development of Intrusion Detection / Prevention System;
Experience in Cybersecurity Products.
Offer
Depending on your knowledge and experience, a gross fee indication between £ 45,000 - £ 53,000 annually on the basis of a 40-hour working week;
A professional, high-tech working environment;
Opportunity to grow in a rapidly growing start-up.
Job Types: Full-time, Contract
Salary: £45,000.00 to £53,000.00 /year
Work remotely:
No",0,0,0,0,0,1,0,1,1
6,50800.0,Field Service Engineer,PSI Technical,Wymondham,"Field Service Engineer. Our client who are part of a house hold name and recruiting for Field Service Engineers to join them on permanent basis. The main duties of this role is to be able to carry out Machine Plant Diagnostics, Servicing and Repairs to Construction, Agricultural, Industrial, Heavy Line and Recycling Equipment.
Field Service Engineer - duties include:
Build and document knowledge about the customer company and its technical operations
Travelling to sites across a set region
To promote aftermarket products and services to the customer
To carry out repairs to the highest standard to provide a “ First Time Fix” to the customer
Possess excellent laptop computer technical diagnostics skills
Excellent operation of the PDA unit to input job information and write-up data
Service and maintain company and other Equipment to the Manufactures specifications
Field Service Engineer - Benefits:
Attractive rates of pay and overtime rates
Company Vehicle
Pension scheme; Auto enrolment and company
22 days paid holiday + bank holidays + 1 day for every 5 years completed service
Contributory medical insurance scheme
Death in service company life assurance
Merchandise purchases at cost
Sickness scheme
Perkz employee benefits
O2 employee benefits
Childcare voucher scheme
Free car parking facilities
Occupational health
Learning and development programmes
Career progression
Hours of Work: 40 hours working week, 08.00 – 16.30 hours
Job Types: Full-time, Permanent
Salary: £30,000.00 to £50,000.00 /year
Experience:
field service engineering: 3 years (Required)
Education:
A-Level or equivalent (Preferred)",0,0,0,0,0,0,0,0,0
7,28849.32,Test Engineer,Bluefruit Software,Redruth,"Software Test Engineer
Salary: £22,715.80 (rising to £23,923.60 after successful completion of probation period)
About the role
Test Engineers work directly with our Software Engineers providing a continuous and effective testing service. This includes report writing, defect reporting and rapid, effective feedback to the team.
We are looking for methodical and passionate Software Test Engineers who will work as a critical part of our software teams, ensuring we deliver high-quality code.
Bluefruit needs people who are enthusiastic, meticulous, able to follow instructions, and have an attention to detail. You should be curious, able to work as part of a team, proactive, able to write clear and concise reports, have a desire to learn and looking for a technically challenging workplace full of intelligent, friendly people.
About You
You are fascinated by technology, enjoy taking things apart to find out how they work, and you are curious and meticulous. You appreciate quality and get excited about things that are well built and you are not afraid to point out when things aren’t quite working to their best.
Formal academic qualifications are not required but a keen interest in either Computing or Electronics would be highly beneficial.
About Bluefruit
Bluefruit Software is a world leading embedded software company, widely regarded for the quality of our code and our Lean-Agile practices.
The company was set up by engineers and we’ve worked hard to create an environment where programmers can thrive. We believe in regular feedback loops and a strong understanding of our client’s software requirements. We use a wide variety of constantly evolving processes to ensure that projects run smoothly and efficiently. This includes using Test-Driven Development (TDD) and Behaviour-Driven Development (BDD) to write code.
Working at Bluefruit
We are a growing embedded software company based in the heart of Cornwall. At Bluefruit, we don’t just say “work-life-balance”, we actively encourage it, with our focus on flexitime, not overtime. Listening and discovery are a part of our culture and we are committed to providing a work environment that encourages learning and development for all colleagues. We take employee health and wellbeing very seriously with a number of employee support schemes in place.
Some of the other benefits of working at Bluefruit:
· Regular salary reviews
· 25 days holiday (plus bank holidays)
· Flexitime available
· Great maternity and paternity leave benefits
· Employee Assistance Programme (EAP)
· Simply Health Cash Back Scheme
· Free access to a financial planner
· Free on-site parking
· Onsite café
· Free onsite gym
· Free weekly yoga class
· Chill-out room with pool table
· Free fruit, tea, coffee, and espresso machine
· Company social and culture guilds
· Cycle to work scheme
Sound good?
Send us your CV today and we will send you a quick Product Test exercise.
We use non-biased recruitment practices to hire based on skill and potential. We ask anyone interested in a role to complete a product test exercise that is anonymised to avoid bias. From the results of the exercise we get a better idea of skill levels and potential. We then select people to join us for an interview and skills assessment.
Want to learn more about us? Have a look at our website or find us on Facebook.
Please note, we are only able to consider applicants with the right to work in the UK.
Closing date: Friday 26th June 2020
Benefits:
Flexible working hours
Profit sharing/share options
Application deadline: 26/06/2020
Job Types: Full-time, Part-time, Permanent
Salary: £22,715.80 /year
Schedule:
Monday to Friday
Work remotely:
Temporarily due to COVID-19",0,0,0,0,0,0,0,0,0
8,60325.0,Machine Learning Engineer,Migacore Technologies,London,"Are you interested in natural language understanding, predictive model building, structured graph mining, or applied machine learning? As a Machine Learning Engineer at Migacore Technologies, you will be responsible for building state-of-the-art predictive models, end to end. You will have wide latitude to experiment with feature extraction, model design, as well as system evaluation. There are many open-ended questions yet to be answered, and lots of opportunities to make a lasting impact on our product.

Requirements
BSc, MSc, or PhD in Computer Science, Software Engineering, or equivalent experience in another quantitative field.
Strong understanding of machine learning techniques and algorithms.
Hands-on experience designing, building, and evaluating predictive models.
Proficiency in Python preferred. Java/C++/Go/Ruby experience is also welcome.
Bonus points for strong understanding of natural language processing techniques and algorithms.
Bonus points for familiarity with TensorFlow, PyTorch, or Keras.
Bonus points for experience building and deploying products that include a web-based user interface.
Experience with data visualisation tools, such as D3.js, GGplot, etc.
Proactive and excited to tackle open-ended problems independently.
Statistical thinking.
Strong attention to detail.


What we offer
Competitive salary.
Great working environment.
A stake in the business.
A critical position in a high-growth machine learning startup.
The chance to move fast, deploy often, and have a real impact on the product.
The chance to learn and grow extremely fast.
Pension plan.
Cycle to Work Scheme.
Conference and self-development budget including travel.
Skills: Python, Machine Learning, D3.js, Keras, TensorFlow
Compensation: £35K - £60k
Equity: 0.3% - 1.5%
Location: London, UK
Job Type: Full Time, Permanent
Start Date: Immediate
If you're interested in what we're working on, please send george@migacore.com your CV and a short note on something you're passionate about.",0,1,0,0,0,1,0,1,1
10,85725.0,Machine Learning Research Engineer,Harnham,Cambridge,"MACHINE LEARNING RESEARCH ENGINEER
£40,000 - £95,000 + Options
Cambridge, UK
OVERVIEW
Harnham are partnered exclusively with an award-winning AI start-up who are currently earning a lot of recognition for their work. Using blockchain technology and machine learning, this company are working on some cutting-edge projects in the digital space.
You will join as a Researcher for Machine Learning, with the sole aim of using cutting-edge and pioneering techniques to improve the lives of millions across the globe. You will partner with leading academic institutions and world-class engineers to deploy real-world machine learning solutions.
SKILLS AND EXPERTISE
Your responsibilities as a ML Research Engineer will include but not be limited to:
Lead projects to maintain state-of-the-art research into machine learning, deep learning and multi-agent systems
Have a passion for research and solving complex ML problems
Have an interest in blockchain and its possibilities to improve lives!
Enjoy the opportunity to work within a world-class team of researchers, with backgrounds ranging from Deepmind and top institutions.
HOW TO APPLY
Please register your interest by sending your CV to Luke Frost at Harnham via the Apply Link on this page.",0,0,0,0,0,0,0,0,0
